COL video title VAL David Dante - Speedy Gonzales.wmv COL channel name VAL delwoodjef	COL video title VAL Quincy Jones - "A Taste of Honey" (1962) COL channel name VAL martsie74	0
COL video title VAL Robin S - You'll Never Walk Alone COL channel name VAL kishkasayshello	COL video title VAL Yvonne Elliman - Walk Right In COL channel name VAL 123c123c123c	0
COL video title VAL Siniestro Total "Coleguita" (A Solas 2000) COL channel name VAL Sol Música	COL video title VAL Smoke gets in your eyes (1933) COL channel name VAL TheDidier568	0
COL video title VAL Sam Lanin: The Varsity Drag COL channel name VAL Fost0989	COL video title VAL Anita Lane & Nick Cave I Love You Nor Do I COL channel name VAL abrkadybre	0
COL video title VAL Dino\, Desi & Billy - Good Lovin' COL channel name VAL dino4ever	COL video title VAL 1996 - retro (Full Album) COL channel name VAL Shine Reigne	0
COL video title VAL Jackie Ryan / A Time For Love COL channel name VAL alicia ally	COL video title VAL Renee Rosnes Trio - A Time For Love COL channel name VAL mogurin3131	1
COL video title VAL fingazz - Didn't I Blow Your Mind - Classics For The OG'S Vo COL channel name VAL AntChiquita	COL video title VAL Ella Fitzgerald\, "It's Only a Paper Moon" COL channel name VAL TheLadyEmerald	0
COL video title VAL Do You Know the Way to San Jose? COL channel name VAL rdoesch	COL video title VAL Marty Robbins Jr (Ronny) - Love Of The Common People COL channel name VAL dvdman49	0
COL video title VAL Saint Saviour - Love Will Tear Us Apart COL channel name VAL Picopunk3	COL video title VAL Ron Carter Quartet - Three Little Words (Buffalo '78) COL channel name VAL Maxine Power	0
COL video title VAL Duran Duran -   Rebel Rebel (Live) COL channel name VAL DonnaMusic21	COL video title VAL If Love Were All COL channel name VAL Dominic Alldis - Topic	0
COL video title VAL California Ramblers Wally Edwards Orch. - Peanut Vendor 1930 El Manisero COL channel name VAL warholsoup100	COL video title VAL TEU AMOR (LA PALOMA) - CONNIE FRANCIS - 1960 - Edição: Joe Becerr COL channel name VAL Joe Becerra Junior	0
COL video title VAL Cassandra Wilson - Hell Hound On My Trail COL channel name VAL camarillobrillo68	COL video title VAL When the Sun Comes Out - Joanie Sommers COL channel name VAL BrightFREE	0
COL video title VAL Joanie Sommers – “Trains And Boats And Planes” (Capitol) 1967 COL channel name VAL 45rpmMike	COL video title VAL Lonnie Donegan Wabash Cannonball.wmv COL channel name VAL Robin Mayhew	0
COL video title VAL Alexander Stewart - Call Me (Official Music Video) HD COL channel name VAL Alexander Stewart	COL video title VAL Larry Donn - I'm Left\, You're Right\, She's Gone COL channel name VAL 1950sRockabilly	0
COL video title VAL James Last - Simon Says/Mony Mony/Yummy Yummy Yummy (1968) COL channel name VAL russallert	COL video title VAL Peter\, Paul & Mary - IT AINT ME BABE (Subitulos en castellano).wmv COL channel name VAL Luis Dib	0
COL video title VAL Stella By Starlight COL channel name VAL Teicher - Topic	COL video title VAL Kenny Dorham - Stella By Starlight COL channel name VAL rujazz	1
COL video title VAL Bob Brookmeyer & Stan Getz - the Nearness of You (1953) COL channel name VAL Overjazz	COL video title VAL Salena Jones - Spinning Wheel COL channel name VAL Tod BKK	0
COL video title VAL Blue Suede Shoes COL channel name VAL natalcuts	COL video title VAL The OC Supertones - Joy to the World COL channel name VAL Rachael Jamison	0
COL video title VAL Vera Lynn - We'll Meet Again (1939 Novachord Version) COL channel name VAL Travis Bickle	COL video title VAL Johnny Cash - We'll Meet Again COL channel name VAL AllThingsJR	1
COL video title VAL Gustav Winckler - Når du ser et stjerneskud (When You Wish Upon a Star) COL channel name VAL stigekalder	COL video title VAL Paty Cantú - La Estrella Azul COL channel name VAL WeLoveDisneyVEVO	1
COL video title VAL Frank Rosolino - Stella By Starlight (1978) COL channel name VAL jazzytrb	COL video title VAL Earl Bostic -- Bugle Call Rag (VintageMusic.es) COL channel name VAL VintageMusicFm	0
COL video title VAL Scrubbin' & Pickin' - Sweet Georgia Brown COL channel name VAL maaisan50	COL video title VAL Mike Oldfield- She moved through the fair- relax COL channel name VAL ybailas	0
COL video title VAL Babies Go Beatles Vol.2 - For no one COL channel name VAL rgsmusicargentina	COL video title VAL Tanya Tucker - Delta Dawn COL channel name VAL racheal clinton	0
COL video title VAL Summertime - Brenda & The Tabulations COL channel name VAL Mr818joker	COL video title VAL Connie Francis "Bésame Mucho" With Lyrics HD COL channel name VAL D' Citras	0
COL video title VAL Lee Morgan Sextet - Whisper Not COL channel name VAL 60otaku4	COL video title VAL Red House Painters - Mark Kozelek - Cruiser - White Christmas Live - Acoustic Version COL channel name VAL playmobilfriends	0
COL video title VAL Marianne Faithfull - Something Tells Me...... COL channel name VAL kirkindysolospock	COL video title VAL Dance Me to the End of Love // The Civil Wars COL channel name VAL TheCivilWars	0
COL video title VAL Willie Hobbs - At The Dark End Of The Street COL channel name VAL Soulhawk	COL video title VAL She & Him - I'll Never Be Free (Audio) COL channel name VAL SheandHimVEVO	0
COL video title VAL Charles Mingus - Summertime COL channel name VAL Okmusix	COL video title VAL Summertime - Colin Meloy COL channel name VAL Rapscallionesque	1
COL video title VAL Smokie - Just When I Needed You Most COL channel name VAL DixielandEli	COL video title VAL The Quireboys - You Shook Me All Night Long [Back in Black REDUX] COL channel name VAL Marlon Vasconcelos	0
COL video title VAL A Day In The Life Of A Fool (Manha De Carnaval) * Harry Belafonte COL channel name VAL Maerleon	COL video title VAL Greg Laswell - The Killing Moon (Echo & The Bunnymen Cover) (Better Quality) COL channel name VAL Salutaurs	0
COL video title VAL Smokey Robinson & The  Miracles - Embraceable You COL channel name VAL bluesandrhythm	COL video title VAL The Andrews Sisters - I can dream\, can't i? COL channel name VAL OnlyVocalHQ	0
COL video title VAL Anthony Braxton - Donna Lee COL channel name VAL MonkeyIslandBlues	COL video title VAL Viva Las Vegas - Plastilina Mosh COL channel name VAL Yoncé Knows	0
COL video title VAL Go the Distance (Disney's "Hercules" Michael Bolton) - female cover by Elizabeth South (Lyrics) COL channel name VAL ElizabethSouth	COL video title VAL JIM REEVES - (NOW AND THEN THERE'S) A FOOL SUCH AS I COL channel name VAL Music Legends Book	0
COL video title VAL Let's stay together - Páll Rósinkranz COL channel name VAL PallRosinkranz	COL video title VAL Tribute to Jeff Porcaro - Let's Stay Together COL channel name VAL Sharon Montelibano	1
COL video title VAL En d' autres mots Les Compagnons de la chanson - youtube COL channel name VAL LES COMPAGNONS DE LA CHANSON BRUNO MALLET - youtube	COL video title VAL James Moody & Kenny Barron - Fly Me To The Moon COL channel name VAL rujazz	1
COL video title VAL The Anita Kerr Singers ~ Mona Lisa COL channel name VAL nipstertunes	COL video title VAL Captain John Handy   Bill Bailey 6 12 1965 COL channel name VAL TunesGaloreYT	0
COL video title VAL James Moody & Kenny Barron - Fly Me To The Moon COL channel name VAL rujazz	COL video title VAL THE T-BONES - FLY ME TO THE MOON (1966) COL channel name VAL Jose Esquivel	1
COL video title VAL Pia Frankenberg - Twisted COL channel name VAL Izzy Casura-Powestri	COL video title VAL Masked Muaraders -Season of the Witch.wmv COL channel name VAL GZargoski	0
COL video title VAL Silver Wings - Pam Tillis COL channel name VAL VeraViancasMom	COL video title VAL Charles Mingus - Summertime COL channel name VAL Okmusix	0
COL video title VAL DENNIS BROWN  - MY GIRL COL channel name VAL Dj\, Wrinkles Xloaded Sound International	COL video title VAL Pato fu - My Girl COL channel name VAL Lúcia Mattoso	1
COL video title VAL JIMMY BURNS (Dublin\, Mississippi\, U.S.A) - 14. How Many More Years COL channel name VAL Mike Papas	COL video title VAL Trini Lopez\, Nancy Ames & The Ventures - Land of a Thousand Dances. COL channel name VAL Dimitris 004 & daughter - Plus channel	0
COL video title VAL Hey Jude - Andre Bisson - Beyond The Covers COL channel name VAL Andre Bisson Rhythm & Blues Experience	COL video title VAL Dim Lights Thick Smoke Leon Rausch COL channel name VAL misterhonkytonk	0
COL video title VAL Oliver Nelson with Lem Winchester - In a Sentimental Mood COL channel name VAL rujazz	COL video title VAL Willie Nelson - "Please Come Home For Christmas" COL channel name VAL RonjaGM	0
COL video title VAL Ornette Coleman - Embraceable You COL channel name VAL grapefraud	COL video title VAL The Moon Is A Harsh Mistress by Joan Baez COL channel name VAL Anjan Chakraborty	0
COL video title VAL Tony Joe White - Susie Q (Remastered) COL channel name VAL Dimitris 004 & daughter - Extra channel	COL video title VAL Accroche un ruban - Sacha Distel COL channel name VAL guitareplaisir	0
COL video title VAL Ornette Coleman - Embraceable You COL channel name VAL grapefraud	COL video title VAL Mercury Rev: If You Want Me To Stay (Vinyl Rip) COL channel name VAL WeeklyRations	0
COL video title VAL I've Got You Under My Skin (CD Quality) COL channel name VAL That Random FNG !	COL video title VAL R.B.Greaves - Always Something There To Remind Me COL channel name VAL Kelly Mark	0
COL video title VAL Halo and Walking on Sunshine- (Glee Version) COL channel name VAL Macizzlee	COL video title VAL I'm ready - Davy graham COL channel name VAL adartis1987	0
COL video title VAL Glee Maybe This Time lyrics COL channel name VAL gleeek1	COL video title VAL Winifred Atwell - Poor John    (78rpm - 1956) COL channel name VAL IVORIESMAN	0
COL video title VAL Jan Savitt - You Go to My Head COL channel name VAL OnlyJazzHQ	COL video title VAL New York Ska-Jazz Esemble - Teardrops From My Eyes COL channel name VAL Alí Cruz Ruiz	0
COL video title VAL KEVIN CHALFANT - don't stop believing COL channel name VAL shut up productions	COL video title VAL Anna-lena Löfgren Sommaren det hände-1968 (Quando M\,Innamoro). COL channel name VAL SwedTopCat64	0
COL video title VAL Glen Campbell - Homeward Bound COL channel name VAL 45RPMsinglesbyMikeEvans	COL video title VAL Alison Krauss & Union Station — "Baby Mine" — Music Video COL channel name VAL dahliacorona	0
COL video title VAL Massimo urbani - Naima (John Coltrane) COL channel name VAL Red Records	COL video title VAL Nicola Stilo & Toninho - Naima COL channel name VAL ozu1107	1
COL video title VAL The Crescendos - My Bonnie (with lyrics) COL channel name VAL Vista Vasta	COL video title VAL AFRO BLUES QUINTET PLUS ONE - I KNOW A PLACE - LP DISCOVERY 3 - MIRA LPS 3013 COL channel name VAL SOULMAN5501	0
COL video title VAL A Symphony of British Music - Track 21; Pure Imagination by Russell Brand & LSO COL channel name VAL 0wlparliament	COL video title VAL Diana Krall - Moonglow (Audio) COL channel name VAL DianaKrallVEVO	0
COL video title VAL Marie Rottrová - To mám tak ráda [Je suis malade] (1976) COL channel name VAL majasko	COL video title VAL ELLA FITZGERALD - GET READY COL channel name VAL david pinches	0
COL video title VAL RARE!  "MERCY" PERFORMING "COME SOFTLY TO ME" COL channel name VAL milarpro	COL video title VAL Jingle Bells - Paulina Cerrilla and Douglas James COL channel name VAL Doug and The Bugs	0
COL video title VAL Gil Evans Orchestra Plays The Music Of Jimi Hendrix : Crosstown traffic COL channel name VAL koxlc	COL video title VAL Bob Dylan - Subterranean Homesick Blues (Official HD Video) COL channel name VAL BobDylanVEVO	0
COL video title VAL "O Come\, O Come\, Emmanuel" by David Hollandsworth COL channel name VAL David Hollandsworth Music	COL video title VAL December People: Oh Come Oh Come Emmanuel / Eagles COL channel name VAL Marytaz	1
COL video title VAL Clare Teal - The Christmas Song COL channel name VAL Clare Teal	COL video title VAL Charlie Pride - Is Anybody Going To San Antone? COL channel name VAL BaronVonPenguin	0
COL video title VAL Elisabeth Edberg-  Jeg vil danse boogie COL channel name VAL charlotte larsen	COL video title VAL Mercy\,..Mercy Me..(The Ecology) ~ Jeff Golub~{Featuring Richard Elliot on tenor saxophone}... COL channel name VAL 21161960	0
COL video title VAL Jimmy Cliff - Wild World. COL channel name VAL jdan222	COL video title VAL She loves you Beatles Lyrics Subtitles UPL COL channel name VAL Gilles Dedier	0
COL video title VAL george harrison - baltimore oriole COL channel name VAL 17k92k	COL video title VAL Betty Wells & Jimmy Wes - Little Sir Echo (original 7" 78 rpm) COL channel name VAL MISisback	0
COL video title VAL The Streaplers  -  I Was The One COL channel name VAL oldolds53	COL video title VAL Micadelia ~ Under The Milky Way COL channel name VAL eireann0	0
COL video title VAL Jill Johnson - A little bit more COL channel name VAL Mats	COL video title VAL Samba de Verão - Sivuca - 6 COL channel name VAL Clayton Gama	0
COL video title VAL Delaney And Bonnie - Come On In My Kitchen; Mama\, He Treats Your Daughter Mean; Going Down The Road COL channel name VAL fred166	COL video title VAL My Girl ::::: Georgie Fame. COL channel name VAL SixtiesOnly	0
COL video title VAL Heartbreak Hotel - Cadets.wmv COL channel name VAL Jack Strong	COL video title VAL Werner Overheidt Hotel zur Einsamkeit COL channel name VAL Charles Urban	1
COL video title VAL HERMAN'S HERMITS - There's A Kind Of Hush COL channel name VAL AllOldMusic	COL video title VAL The Villagers -  You're Gonna Lose That Girl - vinyl 45 COL channel name VAL J B	0
COL video title VAL Corpo e Alma - Kleiton e Kledir.avi COL channel name VAL Tio Patinhas	COL video title VAL SLAVES TO THE SYMBOL - I FEEL YOU -[[COVERStoDM]]- COL channel name VAL COVERStoDM	0
COL video title VAL Sam Lanin: The Varsity Drag COL channel name VAL Fost0989	COL video title VAL Erik Sumo - Summertime (Album Version\, Audio) COL channel name VAL Erik Sumo	0
COL video title VAL The Island - Kimiko Itoh COL channel name VAL hotshiawase2	COL video title VAL Paul Carrack - Too Busy Thinkin' Bout My Baby - Still Groovin' COL channel name VAL Paul Carrack	0
COL video title VAL Ella Fitzgerald - How Deep Is The Ocean COL channel name VAL arqags79	COL video title VAL Over The Rainbow - Derek Watkins.mov COL channel name VAL Derek Lawton	0
COL video title VAL Koto - Eye Of The Tiger COL channel name VAL TheBRVCorporation	COL video title VAL Humble Pie-Drive My Car (The Beatles cover) COL channel name VAL Eliascalifa	0
COL video title VAL Natalia & Gabriel Rios - Hallelujah [HELP HAITI] *Official Videoclip* COL channel name VAL Top Act - Universal	COL video title VAL Hallelujah - Leonard Cohen - 7th Ave cover (Official Video) COL channel name VAL 7thAve Band	1
COL video title VAL Ella Fitzgerald\, "It's Only a Paper Moon" COL channel name VAL TheLadyEmerald	COL video title VAL Bruce Forsyth - Paper Moon (featuring Nat 'King' Cole) COL channel name VAL emieasylistening	1
COL video title VAL Jimmie & Vella - Nights In White Satin COL channel name VAL for the SOUL	COL video title VAL Declan Galbraith - Nights In White Satin - Lyrics COL channel name VAL a.a.a l.	1
COL video title VAL Pat Boone  -  As Tears Go By COL channel name VAL TOTY ITALY	COL video title VAL Nikoletta Szőke Quartet - On a Clear Day COL channel name VAL Nikoletta Szőke	0
COL video title VAL Frankie and Johnny COL channel name VAL Burl Ives - Topic	COL video title VAL The Flying Lizards - Tutti Frutti (1984) COL channel name VAL Jean-Philippe Boisbriand	0
COL video title VAL "BLUE ROOM": DAWN LAMBETH / REYNOLDS BROTHERS at SWEET AND HOT 2011 COL channel name VAL swingyoucats	COL video title VAL FATS DOMINO - LIL' LIZA JANE COL channel name VAL Music Legends Book	0
